30000000;3340;1;4
7888000;1045;2;2
4866000;1179;3;2
8358000;1675;4;3
6845000;1670;5;3
6797000;1220;6;2
20000000;2502;7;4
7105000;1438;8;3
8405000;1405;9;3
3506000;660;10;1
7700000;1362;11;2
9369000;1735;12;3
8716000;1575;13;3
5394000;1120;14;2
6367000;1415;9;3
5080000;1270;15;2
7209999;1311;16;3
5700000;1210;17;2
30000000;3340;1;4
7888000;1045;2;2
4866000;1179;3;2
8358000;1675;4;3
6845000;1670;5;3
6797000;1220;6;2
20000000;2502;7;4
7105000;1438;8;3
8405000;1405;9;3
3506000;660;10;1
7700000;1362;11;2
9369000;1735;12;3
8716000;1575;13;3
5394000;1120;14;2
6367000;1415;9;3
5080000;1270;15;2
7209999;1311;16;3
5700000;1210;17;2
12400000;1705;9;3
4900000;1187;18;2
30000000;3340;1;4
7888000;1045;2;2
4866000;1179;3;2
8358000;1675;4;3
6845000;1670;5;3
6797000;1220;6;2
20000000;2502;7;4
7105000;1438;8;3
8405000;1405;9;3
3506000;660;10;1
7700000;1362;11;2
9369000;1735;12;3
8716000;1575;13;3
5394000;1120;14;2
6367000;1415;9;3
5080000;1270;15;2
7209999;1311;16;3
5700000;1210;17;2
12400000;1705;9;3
4900000;1187;18;2
5080000;1270;15;2
9630000;2293;3;3
9458000;1726;19;3
23700000;2470;20;4
7363000;1570;21;3
5489000;1120;22;2
4216000;1506;23;3
4368000;1040;24;2
7600000;1150;25;2
4545000;1045;6;2
23100000;2480;26;3
8000000;1160;17;2
4514000;1143;17;2
5460000;1300;17;2
4414000;966;27;2
8868000;1245;18;2
6133000;1275;8;2
3038000;1085;28;2
7100000;1286;27;3
7506999;1155;29;2
6520000;1304;9;3
6389000;1120;30;2
11700000;2017;31;3
5600000;1340;32;3
4562000;1304;10;3
2951000;649;8;1
4264000;1108;24;2
6698000;1675;24;3
8100000;718;33;2
4500000;1075;14;2
4928000;1120;34;2
6100000;1350;35;2
6151000;1404;36;2
5426000;1080;18;2
13000000;1800;37;3
4850000;1060;38;2
4604000;1540;39;3
3607000;1110;40;3
16500000;1645;20;3
4840000;1345;41;3
25800000;1866;42;3
51000000;3500;43;3
4809000;1145;10;2
5070000;935;44;2
10500000;1455;45;3
6850000;1305;32;2
4580000;1145;34;2
