Price;ft2;Location;No. of Bedrooms
3400000;400;Sector 24 Rohini;1
2699000;350;Sector 24 Rohini;1
4600000;650;Sector 24 Rohini;2
11500000;1125;Sector 23 Rohini;3
11500000;1375;Rohini Extension;3
3200000;650;Uttam Nagar;2
21000000;2200;Sector 5 Dwarka;4
17300000;1650;Sector 22 Dwarka;3
10500000;980;Vasant Kunj;2
14800000;1600;Sector 22 Dwarka;3
14800000;1600;Sector 22 Dwarka;3
4200000;850;Uttam Nagar;3
4700000;820;Uttam Nagar;3
2399000;525;Uttam Nagar;2
7500000;1350;Uttam Nagar;3
4199000;850;Uttam Nagar;3
2700000;625;Uttam Nagar;2
3500000;750;Uttam Nagar;2
10500000;1250;Sector 3 Dwarka;2
16000000;1700;Sector 18A Dwarka;3
14500000;1600;Sector 4 Dwarka;3
12500000;1300;Sector 19 Dwarka;2
12500000;1300;Sector 19 Dwarka;2
2300000;540;Uttam Nagar;2
2251000;500;Dwarka Mor;2
2200000;540;Dwarka Mor;2
2200000;540;Dwarka Mor;2
10500000;1200;Sector 7 Dwarka;2
20500000;2300;Sector 4 Dwarka;4
17600000;1700;Sector 6 Dwarka;3
2700000;540;Dwarka Mor;2
4799000;900;Dwarka Mor;3
4099000;740;Dwarka Mor;3
2449000;495;Dwarka Mor;2
2399000;477;Dwarka Mor;2
3500000;630;Dwarka Mor;2
4300000;765;Dwarka Mor;3
4000000;720;Dwarka Mor;3
6500000;1080;Dwarka Mor;3
2200000;450;Dwarka Mor;2
5800000;855;Dwarka Mor;3
5200000;990;Dwarka Mor;3
4699000;810;Dwarka Mor;3
2999000;585;Dwarka Mor;2
4199000;720;Dwarka Mor;3
2550000;495;Dwarka Mor;2
3099000;585;Dwarka Mor;2
5500000;900;Bindapur;3
4500000;1000;Uttam Nagar;2
45000000;4500;Sector-18 Dwarka;5
13000000;1600;Sector 6 Dwarka;3
24800000;2600;Sector 6 Dwarka;4
2599000;450;Dwarka Mor;2
2899000;650;Dwarka Mor;2
4500000;800;Dwarka Mor;3
19500000;2100;Palam;4
11399999;1200;Sector 6 Dwarka;2
4599000;850;Dwarka Mor;3
16200000;1800;Sector 9 Dwarka;3
3500000;650;Palam;2
3600000;450;Shastri Nagar;2
3800000;450;Shastri Nagar;2
4200000;450;Shastri Nagar;2
4000000;450;Shastri Nagar;2
3600000;450;Shastri Nagar;2
8200000;900;Shastri Nagar;3
6500000;800;Shastri Nagar;3
7000000;800;Shastri Nagar;3
7000000;800;Shastri Nagar;3
3800000;450;Shastri Nagar;2
3600000;450;Shastri Nagar;2
7000000;750;Shastri Nagar;3
8200000;900;Shastri Nagar;3
4599000;850;Dwarka Mor;3
45000000;4500;Sector-18 Dwarka;5
37500000;3500;Sector-18 Dwarka;4
15800000;1600;Sector 6 Dwarka;3
3500000;650;Sector 9 Dwarka;2
3399000;720;Dwarka Mor;2
2349000;450;Dwarka Mor;2
5999000;990;Dwarka Mor;3
3199000;675;Dwarka Mor;3
4099000;765;Dwarka Mor;3
4600000;1000;Uttam Nagar;3
3500000;865;Uttam Nagar;3
3500000;865;Uttam Nagar;3
2500000;640;Uttam Nagar;2
2500000;640;Uttam Nagar;2
14000000;1800;Sector 12 Dwarka;3
16000000;1800;Sector 12 Dwarka;3
16000000;1600;Sector 9 Dwarka;3
19000000;2500;Sector 10 Dwarka;4
16000000;1750;Sector 5 Dwarka;3
18500000;2000;Sector 13 Dwarka;4
2600000;685;Dwarka Mor;2
2600000;685;Dwarka Mor;2
2300000;540;Govindpuri;2
2500000;540;Govindpuri;2
2500000;520;Govindpuri;2
4000000;810;Govindpuri;3
21100000;2500;Sector 19 Dwarka;4
4100000;865;Uttam Nagar;3
4100000;865;Uttam Nagar;3
2500000;550;Uttam Nagar;2
2500000;550;Uttam Nagar;2
4100000;865;Uttam Nagar;3
3500000;650;Sector 9 Dwarka;2
4600000;850;Sector 9 Dwarka;3
3000000;658;Dwarka Mor;2
14900000;1700;Sector 4 Dwarka;3
13899999;1600;Sector 23 Dwarka;3
18000000;2000;Sector 11 Dwarka;4
12400000;1300;Sector 13 Dwarka;3
4800000;900;nawada;3
2600000;600;nawada;2
10700000;1638;Shanti Park Dwarka;3
5200000;900;Dwarka Mor;3
4200000;820;Dwarka Mor;3
6000000;1200;Dwarka Mor;3
3200000;650;Dwarka Mor;2
6000000;1000;Dwarka Mor;4
4000000;750;Dwarka Mor;3
5000000;900;Dwarka Mor;4
3500000;700;Dwarka Mor;3
5200000;900;Dwarka Mor;3
6500000;1200;Dwarka Mor;4
4200000;820;Dwarka Mor;3
3300000;630;Dwarka Mor;3
6000000;1200;Dwarka Mor;3
3200000;650;Dwarka Mor;2
4000000;750;Dwarka Mor;3
2800000;600;Dwarka Mor;2
5000000;900;Dwarka Mor;4
3200000;616;Mansa Ram Park;2
3200000;616;Mansa Ram Park;2
2800000;505;Mansa Ram Park;2
2800000;505;Mansa Ram Park;2
2700000;505;Mansa Ram Park;2
5000000;900;nawada;3
4500000;900;nawada;3
3400000;675;Mansa Ram Park;2
4200000;810;Burari;3
4200000;1000;Burari;3
5400000;1125;Burari;3
4200000;810;Burari;3
3300000;675;Burari;2
5600000;1200;Burari;3
2200000;630;Burari;2
11500000;1050;Vasant Kunj;2
18500000;2400;Sector 11 Dwarka;4
9500000;1300;Sector 19 Dwarka;2
14500000;1700;Sector 2 Dwarka;3
30000000;1600;Greater Kailash;3
2700000;540;Uttam Nagar;2
4200000;900;Uttam Nagar;3
5700000;1100;Uttam Nagar;4
3200000;675;Uttam Nagar;3
6199000;1100;Uttam Nagar;3
6500000;1200;Uttam Nagar;4
2000000;500;Uttam Nagar;2
4199000;810;Uttam Nagar;3
3199000;580;Uttam Nagar;2
11000000;1500;Sector 19 Dwarka;3
21500000;2000;Sector-18 Dwarka;3
14500000;1800;Sector 5 Dwarka;3
18500000;1800;Sector 6 Dwarka;3
6500000;625;Sector 23 Rohini;2
17000000;1400;Sarita Vihar;3
2200000;450;Dwarka Mor;2
3200000;495;Dwarka Mor;2
6300000;1000;Dwarka Mor;4
2500000;540;Dwarka Mor;2
2700000;505;Mansa Ram Park;2
2500000;540;Dwarka Mor;2
4800000;810;Mansa Ram Park;3
3200000;616;Mansa Ram Park;2
3100000;616;Mansa Ram Park;2
2700000;505;Mansa Ram Park;2
5200000;855;Mansa Ram Park;3
3300000;616;Mansa Ram Park;2
2500000;540;Dwarka Mor;2
2750000;667;Uttam Nagar;2
2750000;667;Uttam Nagar;2
19800000;2400;Sector 4 Dwarka;4
10000000;1000;Sector 17 Dwarka;2
10000000;1000;Sector 17 Dwarka;2
19000000;1900;Sector 6 Dwarka;3
22000000;2500;Sector 11 Dwarka;5
2100000;500;Uttam Nagar;2
2000000;520;Uttam Nagar;2
2200000;510;Uttam Nagar;2
3100000;750;Uttam Nagar;3
2800000;600;Uttam Nagar;2
6500000;861;Sector 23 Rohini;2
2700000;640;Uttam Nagar;2
2700000;640;Uttam Nagar;2
16800000;1800;Sector 4 Dwarka;3
4600000;1000;Uttam Nagar;3
3400000;755;Dwarka Mor;2
4400000;1000;Dwarka Mor;3
4700000;1050;Dwarka Mor;3
3400000;755;Dwarka Mor;2
4700000;1050;Dwarka Mor;3
3700000;760;Dwarka Mor;2
3700000;760;Dwarka Mor;2
2900000;750;Dwarka Mor;2
2900000;750;Dwarka Mor;2
4600000;1000;Uttam Nagar;3
15500000;1200;Alaknanda;3
3500000;720;Dwarka Mor;3
3400000;675;Mansa Ram Park;2
2800000;540;Dwarka Mor;2
5400000;900;Uttam Nagar;3
6200000;900;Mansa Ram Park;3
5000000;810;Sewak Park;3
4800000;900;Mansa Ram Park;3
2500000;540;Dwarka Mor;2
3800000;675;Mansa Ram Park;3
3500000;630;Mansa Ram Park;3
5000000;810;Sewak Park;3
4800000;810;Dwarka Mor;3
20000000;2500;Sector 22 Dwarka;4
19500000;2000;Sector 4 Dwarka;4
20500000;2000;Sector 4 Dwarka;4
45000000;4500;Sector-18 Dwarka;4
24900000;2200;Sector 6 Dwarka;4
19500000;2000;Sector 7 Dwarka;4
8400000;900;Sector 6 Dwarka;2
16800000;1900;Sector 7 Dwarka;4
15800000;1600;Sector 13 Dwarka;3
14800000;1550;Sector 22 Dwarka;3
21500000;2000;Sector 5 Dwarka;4
19500000;2000;Sector 7 Dwarka;4
23500000;2200;Sector 10 Dwarka;4
15100000;1700;Sector 10 Dwarka;3
17600000;1500;Sector 11 Dwarka;3
34100000;3800;Sector 11 Dwarka;4
22500000;2400;Sector 2 Dwarka;3
18200000;2200;Sector 9 Dwarka;4
14800000;1800;Sector 6 Dwarka;2
11000000;2520;Jasola;4
8500000;1440;Jamia Nagar;4
3500000;765;Jamia Nagar;2
3600000;585;Jamia Nagar;2
7500000;1350;Jamia Nagar;3
3550000;675;Jasola;2
3500000;720;Bindapur;3
4500000;900;Bindapur;3
6211000;1000;Sewak Park;4
3200000;616;Mansa Ram Park;2
2500000;540;Dwarka Mor;2
3500000;720;Dwarka Mor;3
19000000;2000;Sector 4 Dwarka;3
16500000;1700;Sector 6 Dwarka;3
24800000;2400;Sector 6 Dwarka;4
21500000;2400;Sector 22 Dwarka;4
19000000;2000;Sector 4 Dwarka;3
16500000;1700;Sector 6 Dwarka;3
15500000;1900;Sector 9 Dwarka;3
3050000;685;Uttam Nagar;2
3900000;1000;Uttam Nagar;3
2900000;600;Uttam Nagar;2
11000000;1300;Sector 10 Dwarka;2
15000000;1800;Sector 2 Dwarka;3
12000000;1700;Sector 4 Dwarka;3
11000000;1600;Sector 3 Dwarka;3
9000000;645;Rohini sector 24;2
10500000;865;Rohini sector 24;3
7500000;680;Rohini sector 24;3
9800000;1055;Rohini sector 24;3
19000000;1800;Sector 12 Dwarka;2
6900000;950;Sector 23 Rohini;2
7500000;680;Rohini sector 24;3
2600000;550;Dwarka Mor;2
7200000;900;Dwarka Mor;3
3600000;450;Dwarka Mor;2
3200000;400;Dwarka Mor;2
6400000;800;Dwarka Mor;3
3050000;600;Dwarka Mor;2
2300000;400;Dwarka Mor;2
4400000;800;Dwarka Mor;3
4799000;900;Dwarka Mor;3
3400000;550;nawada;2
4500000;800;nawada;3
8500000;970;Sector 22 Rohini;3
9000000;1080;Rohini sector 24;4
3500000;650;Mahavir Enclave;2
3200000;550;Mahavir Enclave;2
4999000;950;Dwarka Mor;3
2600000;450;Dwarka Mor;2
2900000;650;Dwarka Mor;2
4400000;800;Dwarka Mor;3
20500000;2200;Sector 6 Dwarka;2
23200000;2400;Sector 19 Dwarka;4
25900000;2800;Sector 6 Dwarka;4
17500000;1500;Sector 23 Dwarka;3
14800000;1600;Sector 6 Dwarka;3
13500000;1500;Sector 10 Dwarka;3
15500000;1600;Sector 10 Dwarka;3
12800000;1500;Sector 2 Dwarka;3
3300000;675;Burari;2
2100000;540;Burari;2
6700000;1150;Shahdara;3
5500000;1000;Shahdara;3
6000000;1000;Shahdara;3
6000000;1000;Shahdara;3
5500000;990;Uttam Nagar;3
2600000;545;Uttam Nagar;2
3699000;750;Uttam Nagar;3
3199000;615;Uttam Nagar;2
2200000;540;Dwarka Mor;2
3800000;720;nawada;3
2200000;450;nawada;2
2200000;450;Matiala;2
2300000;500;Mansa Ram Park;2
4500000;810;Matiala;3
2600000;540;Dwarka Mor;2
3000000;540;Uttam Nagar;2
2800000;540;Uttam Nagar;2
3500000;720;Mansa Ram Park;3
2100000;450;Matiala;2
2400000;360;Babarpur;1
3800000;650;Babarpur;2
8000000;1215;Shahdara;4
11500000;1440;Shahdara;4
9000000;1000;Rohini sector 24;4
12800000;1700;Sector 22 Dwarka;3
19200000;2001;Sector 11 Dwarka;4
14500000;1800;Sector 3 Dwarka;3
12000000;1750;Sector 18A Dwarka;3
12500000;1700;Sector 22 Dwarka;3
13500000;1600;Sector 19 Dwarka;3
15500000;2100;Sector 4 Dwarka;4
15500000;1900;Sector 12 Dwarka;4
13500000;1600;Sector 19 Dwarka;3
7500000;680;Rohini sector 24;3
13500000;1800;Sector 7 Dwarka;3
13500000;1800;Sector 7 Dwarka;3
11000000;1400;Sector 11 Dwarka;2
2100000;540;Uttam Nagar;2
2200000;540;Uttam Nagar;2
2300000;600;nawada;2
7000000;800;Sector 23 Rohini;2
8500000;1800;Chattarpur;3
29500000;2400;Sector 2 Dwarka;4
25000000;1440;Lajpat Nagar;3
7800000;1100;South Extension 2;2
16500000;1900;Sector 5 Dwarka;4
20000000;2000;Sector 12 Dwarka;4
16900000;1700;Sector 4 Dwarka;2
27500000;2000;Sector 10 Dwarka;3
17500000;1800;Sector 16B Dwarka;2
14900000;1700;Sector 7 Dwarka;3
25000000;2400;Sector 2 Dwarka;3
2400000;585;Govindpuri;2
13899999;1500;Sector 19 Dwarka;3
14000000;1850;Sector 9 Dwarka;4
13200000;1350;Dwarka Mor;3
8500000;1100;Sector 11 Dwarka;2
18500000;1750;Sector 19 Dwarka;4
13799999;1300;Sector 11 Dwarka;3
10800000;1200;Sector 12 Dwarka;2
12800000;1750;Sector 7 Dwarka;3
3600000;675;Uttam Nagar;2
4700000;810;Uttam Nagar;3
4650000;810;Uttam Nagar;3
4200000;785;nawada;3
4700000;810;Uttam Nagar;3
3200000;750;Uttam Nagar;2
2600000;500;Uttam Nagar;2
2700000;550;Bindapur;2
3300000;540;Uttam Nagar;2
5000000;1000;Uttam Nagar;3
4100000;800;Uttam Nagar;3
2550000;600;Uttam Nagar;2
2200000;550;Uttam Nagar;2
10500000;1100;Sector 10 Dwarka;2
5350000;900;Mahavir Enclave;3
2800000;540;nawada;2
4500000;810;nawada;3
5600000;900;Mahavir Enclave;3
5400000;900;Mahavir Enclave;3
5700000;950;Mahavir Enclave;3
3600000;675;Mahavir Enclave;2
3800000;550;Mahavir Enclave;2
5600000;900;Mahavir Enclave;3
5400000;900;Mahavir Enclave;3
6000000;1000;Mahavir Enclave;3
6000000;990;Mahavir Enclave;3
6000000;990;Mahavir Enclave;3
16500000;2302;Shanti Park Dwarka;3
12000000;1638;Shanti Park Dwarka;2
10000000;1245;Shanti Park Dwarka;2
10000000;1245;Shanti Park Dwarka;2
17500000;2302;Shanti Park Dwarka;4
18000000;2302;Shanti Park Dwarka;4
2450000;585;Govindpuri;2
3800000;820;Govindpuri;3
2500000;585;Govindpuri;2
2300000;540;Govindpuri;2
2400000;585;Govindpuri;2
2400000;500;Govindpuri;2
2400000;600;Govindpuri;2
2400000;500;Govindpuri;2
2500000;500;Govindpuri;2
2300000;540;Govindpuri;2
2400000;500;Govindpuri;2
5500000;900;Mahavir Enclave;3
5500000;900;Mahavir Enclave;3
5500000;900;Mahavir Enclave;3
3800000;675;Uttam Nagar;3
29200000;2500;Sector 22 Dwarka;3
46500000;3200;Sector 11 Dwarka;3
15500000;1600;Sector 10 Dwarka;3
12000000;1500;Sector 12 Dwarka;3
8500000;1350;Sector 19 Dwarka;2
8000000;1000;Sector 17 Dwarka;2
16500000;1600;Sector 10 Dwarka;3
14000000;1600;Sector 10 Dwarka;3
11500000;1300;Sector 6 Dwarka;2
15000000;850;Sheikh Sarai;2
9500000;1100;Sidhartha Nagar;2
12000000;1500;Sector 4 Dwarka;3
15500000;1550;Jasola;3
13500000;1400;Sector 24 Rohini;4
18000000;2250;Sector 24 Rohini;4
4500000;700;Sector 24 Rohini;2
6000000;800;Sector 24 Rohini;3
8500000;750;Vasant Kunj;1
4600000;850;Uttam Nagar;3
5600000;1000;Uttam Nagar;3
16000000;1700;Sector 10 Dwarka;3
14500000;1700;Sector 4 Dwarka;3
11500000;1000;Sector 6 Dwarka;2
28000000;2800;Sector 11 Dwarka;5
13100000;1300;Sector 10 Dwarka;3
11000000;1100;Sector 19 Dwarka;2
12800000;1600;Sector 5 Dwarka;3
21000000;1900;Sector 10 Dwarka;4
9500000;950;Kalkaji;3
22500000;1450;Sector-D Vasant Kunj;3
21000000;2400;Sector 10 Dwarka;2
32500000;2400;Sector 11 Dwarka;4
9500000;900;Hauz Khas;2
10000000;800;Kalkaji Extension;3
14500000;1125;Greater kailash 1;2
16500000;2400;Sector 11 Dwarka;4
11100000;1215;Kalkaji;2
8000000;1050;Lajpat Nagar III;2
17000000;950;Safdarjung Enclave;2
21000000;2400;Sector 10 Dwarka;2
20000000;1150;Vasant Kunj;2
18000000;1700;Sector 19 Dwarka;2
25000000;1500;Vasant Kunj;3
18800000;1700;Sector 4 Dwarka;2
20000000;1800;Lajpat Nagar;2
16000000;1450;South Extension 2;3
21900000;1500;Lajpat Nagar III;3
15000000;1900;Greater Kailash II;3
17600000;2400;Sector 10 Dwarka;4
19900000;2300;Sector 10 Dwarka;4
15500000;1800;Sector 6 Dwarka;3
14500000;1125;Greater kailash 1;2
18800000;1700;Sector 4 Dwarka;2
20000000;1800;Lajpat Nagar;2
16000000;1450;South Extension 2;3
21900000;1500;Lajpat Nagar III;3
15000000;1900;Greater Kailash II;3
16500000;1850;Sector 5 Dwarka;4
16000000;1600;Hauz Khas;3
15800000;1850;Sector 4 Dwarka;3
28500000;1800;Hauz Khas;2
20000000;1150;Vasant Kunj;2
18900000;1250;Jasola;3
17000000;950;Safdarjung Enclave;2
15500000;1800;Sainik Farms;4
8000000;1050;Lajpat Nagar III;2
20500000;2500;Sector 6 Dwarka;4
20000000;1800;Lajpat Nagar;2
16000000;1450;South Extension 2;3
15100000;1700;Sector 10 Dwarka;2
19000000;1700;Sector 4 Dwarka;3
17000000;2300;Sector 13 Dwarka;3
15500000;1750;Sector 13 Dwarka;3
13500000;1250;Sarita Vihar;2
2500000;550;Uttam Nagar;2
5200000;1000;Mansa Ram Park;3
4900000;1000;Uttam Nagar;3
4000000;900;Uttam Nagar;3
2500000;500;Uttam Nagar;2
5500000;1100;Uttam Nagar;3
3700000;800;Uttam Nagar;3
3500000;750;Uttam Nagar;3
3000000;600;Uttam Nagar;2
3400000;700;Uttam Nagar;3
5600000;1000;Uttam Nagar;3
5300000;1000;Mansa Ram Park;3
4500000;900;Uttam Nagar;3
3800000;850;nawada;3
4500000;850;Uttam Nagar;3
5300000;1000;Mansa Ram Park;3
3200000;540;Uttam Nagar;2
3200000;540;Uttam Nagar;2
13500000;1300;Sector 7 Dwarka;3
10500000;1000;Sector 4 Dwarka;2
15800000;1600;Sector 11 Dwarka;3
15800000;1600;Sector 11 Dwarka;3
16500000;1700;Sector 22 Dwarka;3
16200000;1600;Sector 4 Dwarka;3
14800000;1700;Sector 4 Dwarka;3
18000000;2000;Sector 12 Dwarka;4
22000000;2100;Sector-18 Dwarka;4
19500000;1800;Sector 11 Dwarka;4
14500000;1600;Sector 11 Dwarka;3
18500000;1900;Sector 9 Dwarka;4
18200000;1700;Sector 12 Dwarka;3
13500000;1450;Sector 4 Dwarka;3
13100000;1530;Sector 7 Dwarka;3
21000000;2100;Sector 19 Dwarka;4
28500000;3300;Sector 19 Dwarka;4
15500000;1600;Sector 10 Dwarka;3
15500000;1600;Sector 12 Dwarka;3
15200000;1400;Sector 10 Dwarka;3
25400000;2200;Sector 22 Dwarka;4
14500000;1600;Sector 6 Dwarka;3
17500000;1700;Sector 6 Dwarka;3
14800000;1700;Sector 3 Dwarka;3
12800000;1500;Sector 10 Dwarka;3
24000000;2200;Sector-18 Dwarka;3
11500000;1100;Sector 22 Dwarka;2
28500000;3300;Sector 19 Dwarka;4
15500000;1600;Sector 10 Dwarka;3
15500000;1600;Sector 12 Dwarka;3
13500000;1300;Sector 7 Dwarka;3
15500000;1500;Sector 6 Dwarka;3
16000000;1800;Sector 10 Dwarka;3
14100000;1600;Sector 19 Dwarka;3
15500000;1500;Sector 19 Dwarka;3
24500000;2150;Sector 10 Dwarka;4
19800000;2500;Sector 11 Dwarka;3
18500000;2200;Sector 18A Dwarka;4
19500000;2200;Sector 19 Dwarka;4
7000000;900;Sector 17 Dwarka;2
19500000;2500;Sector 18A Dwarka;4
14000000;1750;Sector 13 Dwarka;3
6500000;1000;Uttam Nagar;3
5800000;900;Uttam Nagar;3
4700000;820;Uttam Nagar;3
2700000;625;Uttam Nagar;2
2400000;525;Uttam Nagar;2
3500000;750;Uttam Nagar;2
4200000;850;Uttam Nagar;3
4600000;1200;Uttam Nagar;4
2000000;500;Uttam Nagar;2
2700000;560;Uttam Nagar;2
2800000;580;Uttam Nagar;2
3500000;950;Uttam Nagar;3
2900000;675;Uttam Nagar;3
3300000;810;Uttam Nagar;3
4200000;1100;Uttam Nagar;3
14000000;1600;Sector 4 Dwarka;3
17000000;1800;Sector 10 Dwarka;3
17000000;1800;Sector 10 Dwarka;3
2700000;630;Jamia Nagar;3
2600000;630;Jamia Nagar;3
2600000;630;Jamia Nagar;3
2500000;630;Jamia Nagar;3
26500000;2400;Sector 22 Dwarka;4
22000000;2200;Sector 19 Dwarka;4
22500000;2600;Sector 19 Dwarka;4
21000000;2400;Sector 11 Dwarka;3
18000000;2000;Sector-18 Dwarka;3
17000000;2100;Sector 12 Dwarka;3
7000000;1200;Sector 23 Rohini;3
9500000;1125;Budh Vihar;3
5500000;800;Budh Vihar;3
8000000;1125;Sector 20 Rohini;3
8500000;1125;Sector 20 Rohini;3
8500000;1200;Sector 20 Rohini;3
7500000;1200;Sector 20 Rohini;3
8000000;1200;Sector 20 Rohini;3
24000000;1450;Vasant Kunj;3
5000000;920;Uttam Nagar;3
2100000;500;Uttam Nagar;2
7500000;800;Rohini sector 24;3
15000000;1600;Sector 22 Rohini;4
8000000;1450;Sector 22 Rohini;3
12000000;1150;Sector 22 Rohini;4
5000000;750;Sector 22 Rohini;3
4000000;600;Sector 22 Rohini;2
7900000;1125;Sector 23 Rohini;3
16500000;1700;Sector 18A Dwarka;3
2750000;650;Uttam Nagar;2
2500000;540;Uttam Nagar;2
2850000;650;Uttam Nagar;2
3811000;800;Uttam Nagar;3
2150000;525;Uttam Nagar;2
3651000;750;Uttam Nagar;3
3651000;750;Uttam Nagar;3
3000000;600;Uttam Nagar;2
2030000;560;Uttam Nagar;2
14800000;1800;Sector 10 Dwarka;3
4500000;900;Uttam Nagar;3
2611000;600;Uttam Nagar;2
2100000;500;Bindapur;2
3200000;750;Uttam Nagar;3
2751000;650;Uttam Nagar;2
3600000;750;Uttam Nagar;3
4000000;850;Uttam Nagar;3
3211000;750;Uttam Nagar;3
2351000;500;Uttam Nagar;2
3700000;750;Uttam Nagar;3
3200000;750;Uttam Nagar;3
3511000;750;Uttam Nagar;3
2351000;525;Uttam Nagar;2
3751000;800;Uttam Nagar;3
3851000;810;Uttam Nagar;3
2351000;540;Uttam Nagar;2
3911000;800;Uttam Nagar;3
2150000;525;Uttam Nagar;2
3520000;750;Uttam Nagar;3
2899000;540;Uttam Nagar;2
2550000;540;Uttam Nagar;2
2851000;600;Uttam Nagar;2
3521000;800;Uttam Nagar;3
3411000;750;Bindapur;3
3900000;720;Uttam Nagar;3
4010000;900;Uttam Nagar;3
2499000;540;Uttam Nagar;2
2710000;600;Uttam Nagar;2
2511000;600;Uttam Nagar;2
2511000;500;Uttam Nagar;2
3621000;800;Uttam Nagar;3
2211000;500;Uttam Nagar;2
4000000;720;nawada;3
4700000;810;Mansa Ram Park;3
4700000;855;Mansa Ram Park;3
4000000;830;Dwarka Mor;3
15000000;1800;Sector 6 Dwarka;3
2651000;600;Uttam Nagar;2
2351000;525;Uttam Nagar;2
3521000;750;Uttam Nagar;3
2311000;500;Uttam Nagar;2
4211000;900;Uttam Nagar;3
4151000;900;nawada;3
2350000;540;Mansa Ram Park;2
2851000;600;Uttam Nagar;2
4100000;900;Dwarka Mor;3
3611000;800;Uttam Nagar;3
2000000;500;Uttam Nagar;1
2100000;500;Uttam Nagar;2
3621000;750;Uttam Nagar;3
2200000;525;Uttam Nagar;2
3850000;800;Uttam Nagar;3
3611000;750;Uttam Nagar;3
2311000;540;Uttam Nagar;2
3500000;675;Mansa Ram Park;3
3750000;800;Uttam Nagar;3
16399999;1650;Alaknanda;4
15600000;1300;Alaknanda;2
25000000;1650;greater kailash Enclave 1;3
19000000;1650;greater kailash Enclave 1;3
15100000;1350;Greater Kailash;2
16700000;1350;Kalkaji;3
19000000;1450;Alaknanda;3
19000000;1450;Alaknanda;3
15000000;1200;Alaknanda;2
15500000;1250;Alaknanda;2
18700000;1450;Alaknanda;3
18300000;1400;Alaknanda;3
13500000;1400;Sector 24 Rohini;4
27500000;2250;Sector 24 Rohini;4
2200000;300;Sector 24 Rohini;1
2600000;400;Sector 24 Rohini;1
6000000;700;Sector 24 Rohini;2
7000000;800;Sector 24 Rohini;3
5500000;600;Sector 24 Rohini;2
16500000;1350;Kalkaji;2
15700000;1650;Alaknanda;3
16500000;1350;Alaknanda;3
15000000;1350;Alaknanda;2
18500000;1450;Alaknanda;3
18900000;1450;Alaknanda;3
19600000;1450;Alaknanda;3
16500000;1350;Alaknanda;2
21500000;1650;Alaknanda;3
24500000;1550;Kalkaji;3
19000000;1550;Alaknanda;3
14100000;1250;Alaknanda;2
22900000;1650;Alaknanda;3
15500000;1250;Kalkaji;2
20500000;1450;Alaknanda;3
15700000;1550;Alaknanda;3
22500000;1650;Kalkaji;3
19000000;1450;Alaknanda;3
16700000;1700;Kalkaji;3
15500000;1250;Alaknanda;2
17000000;1300;Alaknanda;2
16000000;1350;Kalkaji;2
15500000;1250;Kalkaji;2
19000000;1400;Alaknanda;3
14500000;1200;Kalkaji;2
13799999;1250;Alaknanda;2
19500000;1450;Alaknanda;3
19500000;1650;Alaknanda;3
9000000;2200;Chattarpur;4
4299000;750;Dwarka Mor;3
3200000;800;Dwarka Mor;2
2499000;700;Dwarka Mor;2
7000000;1170;DLF Farms;3
15500000;1850;Sector 13 Dwarka;3
13799999;1800;Sector 13 Dwarka;3
13200000;1750;Sector 3 Dwarka;3
13000000;1800;Sector 22 Dwarka;3
13000000;1750;Sector 7 Dwarka;3
25000000;1650;Vasant Kunj;3
4499000;850;Uttam Nagar;3
2799000;600;Uttam Nagar;2
3799000;750;Uttam Nagar;2
3500000;700;Uttam Nagar;2
3900000;750;Uttam Nagar;3
7000000;600;Vasant Kunj;1
9000000;650;Vasant Kunj;1
7500000;600;Vasant Kunj;1
13000000;1100;Vasant Kunj;2
11000000;800;Vasant Kunj;2
19000000;1700;Vasant Kunj;3
7200000;581;Kalkaji;1
7500000;581;Vasant Kunj;1
2100000;500;Uttam Nagar;2
7000000;1150;Uttam Nagar;4
3699000;750;Uttam Nagar;2
3099000;650;Uttam Nagar;2
4799000;850;Uttam Nagar;3
5800000;900;Dwarka Mor;3
4700000;820;Dwarka Mor;3
2700000;625;Dwarka Mor;2
2400000;525;Dwarka Mor;2
3500000;750;Dwarka Mor;2
4200000;850;Dwarka Mor;3
30000000;1800;Vasant Kunj;3
30000000;1800;Vasant Kunj;3
10000000;1000;Paschim Vihar;3
6900000;1250;Dwarka Mor;3
5500000;1050;Dwarka Mor;3
3190000;610;Dwarka Mor;2
3220000;640;Dwarka Mor;2
4700000;875;Dwarka Mor;3
3210000;630;Dwarka Mor;2
3225000;650;Dwarka Mor;2
4300000;850;Dwarka Mor;3
4100000;800;Dwarka Mor;3
2700000;600;Dwarka Mor;2
7500000;581;Vasant Kunj;1
10500000;1000;Vasant Kunj;2
7500000;600;Vasant Kunj;1
2599000;450;Uttam Nagar;2
2899000;650;Uttam Nagar;2
4400000;800;Uttam Nagar;3
11000000;1000;Vasant Kunj;2
2650000;600;Vasant Kunj;1
4200000;800;nawada;3
3500000;500;Pitampura;2
21000000;1600;Vasant Kunj;4
21000000;1650;Vasant Kunj;4
21000000;1650;Vasant Kunj;4
3600000;738;Burari;3
5999000;900;Mehrauli;2
10500000;1500;Mehrauli;3
17500000;1600;Vasant Kunj;3
3200000;750;Khanpur;2
11500000;1700;Sector 13 Dwarka;3
11500000;1450;Sector 13 Dwarka;3
9000000;1100;Paschim Vihar;2
16000000;1500;Pitampura;3
