Price;ft2;Location;No. of Bedrooms
15500000;1800;Sector 12 Dwarka;3
17500000;1800;Sector 12 Dwarka;3
4700000;820;Dwarka Mor;3
2700000;625;Dwarka Mor;2
2400000;525;Dwarka Mor;2
3500000;750;Dwarka Mor;2
4200000;850;Dwarka Mor;3
16500000;1700;Sector 22 Dwarka;3
16800000;1900;Sector 6 Dwarka;4
13799999;1700;Sector 9 Dwarka;3
13000000;1700;Sector 9 Dwarka;3
13000000;1700;Sector 9 Dwarka;3
10500000;1400;Sector 7 Dwarka;2
19000000;1900;Sector 13 Dwarka;4
13000000;1700;Sector 4 Dwarka;3
13000000;1700;Sector 4 Dwarka;3
18000000;1900;Sector 13 Dwarka;4
19000000;1900;Sector 13 Dwarka;4
19500000;1900;Sector 7 Dwarka;4
18500000;1800;Sector 2 Dwarka;3
14500000;1800;Sector 2 Dwarka;3
14500000;1800;Sector 2 Dwarka;3
14500000;1800;Sector 2 Dwarka;3
15800000;1800;Sector 2 Dwarka;3
14500000;1800;Sector 2 Dwarka;3
19000000;2000;Sector 2 Dwarka;3
17000000;1900;Sector 10 Dwarka;3
13799999;1700;Sector 9 Dwarka;3
15800000;1700;Sector 9 Dwarka;3
10000000;1100;Sector 7 Dwarka;2
14500000;1700;Sector 6 Dwarka;3
14500000;1700;Sector 6 Dwarka;3
15500000;1600;Sector 10 Dwarka;3
15500000;1600;Sector 10 Dwarka;3
14500000;1500;Sector 4 Dwarka;3
14500000;1500;Sector 4 Dwarka;3
16500000;1600;Sector 12 Dwarka;3
17200000;1800;Sector 22 Dwarka;3
20900000;2200;Sector 11 Dwarka;4
19500000;1900;Sector 4 Dwarka;3
15800000;1700;Sector 13 Dwarka;3
17000000;1800;Sector 23 Dwarka;3
16000000;2000;Sector 22 Dwarka;3
17500000;2000;Sector 23 Dwarka;3
14900000;1800;Sector 23 Dwarka;3
14500000;1900;Pochanpur Colony;3
17000000;1600;Sector 22 Dwarka;3
14500000;1900;Pochanpur Colony;3
20000000;2400;Sector 11 Dwarka;4
14500000;1800;Sector 6 Dwarka;3
16500000;1800;Sector 11 Dwarka;3
16000000;1800;Sector 11 Dwarka;3
15500000;1700;Sector 11 Dwarka;3
23000000;2300;Sector 11 Dwarka;4
19500000;2100;Sector 11 Dwarka;3
19500000;2100;Sector 11 Dwarka;3
13500000;1700;Sector 11 Dwarka;3
16500000;2200;Sector 11 Dwarka;4
17500000;2000;Sector 11 Dwarka;4
17500000;2000;Sector 11 Dwarka;3
14500000;1800;Sector 11 Dwarka;3
18500000;2000;Sector 11 Dwarka;3
19000000;2000;Sector 11 Dwarka;3
22000000;2200;Sector 11 Dwarka;3
27000000;3000;Sector 11 Dwarka;4
22000000;2200;Sector 11 Dwarka;4
19000000;2100;Sector 11 Dwarka;3
15000000;1800;Sector 11 Dwarka;3
17500000;2600;Sector 23 Rohini;4
3500000;500;Sector 23 Rohini;2
2100000;360;Sector 23 Rohini;1
16000000;2250;Sector 23 Rohini;4
2300000;400;Sector 23 Rohini;1
4000000;650;Sector 23 Rohini;2
14500000;2000;Sector 23 Rohini;4
5300000;850;Sector 23 Rohini;3
4500000;800;Sector 23 Rohini;3
9700000;1300;Sector 23 Rohini;3
17000000;1800;Dwarka Mor;3
15500000;1800;Sector 10 Dwarka;3
15500000;1800;Sector 10 Dwarka;3
15800000;1800;Sector 10 Dwarka;3
14000000;1800;Sector 9 Dwarka;3
13500000;1600;Sector 9 Dwarka;3
16500000;2000;Sector 9 Dwarka;3
14500000;1800;Sector 9 Dwarka;3
15500000;2800;Sector 9 Dwarka;3
21000000;2000;Sector 9 Dwarka;3
15000000;1600;Sector 9 Dwarka;3
16500000;1800;Sector 10 Dwarka;3
24000000;1800;Sector 9 Dwarka;3
15600000;1800;Sector 9 Dwarka;3
16000000;2400;Sector 9 Dwarka;3
16500000;1800;Sector 9 Dwarka;3
14000000;1800;Sector 9 Dwarka;3
15800000;1900;Sector 7 Dwarka;4
17000000;1800;Palam;3
17000000;1800;Palam;3
18500000;2000;Palam;3
18000000;1900;Sector 7 Dwarka;3
16000000;1800;Palam;3
17000000;1900;Sector 7 Dwarka;3
13000000;1700;Sector 7 Dwarka;3
16000000;1800;Sector 7 Dwarka;3
13500000;1800;Sector 5 Dwarka;3
13000000;1700;Sector 5 Dwarka;3
13000000;1600;Sector 5 Dwarka;3
17000000;1900;Sector 5 Dwarka;3
15000000;1800;Sector 5 Dwarka;3
15500000;1700;Sector 5 Dwarka;3
15000000;1800;Sector 5 Dwarka;3
18500000;2000;Sector 5 Dwarka;3
21000000;2100;Sector 5 Dwarka;4
16500000;1800;Sector 5 Dwarka;3
16000000;1800;Sector 5 Dwarka;3
14000000;1600;Sector 5 Dwarka;3
18000000;1900;Sector 4 Dwarka;4
13000000;1800;Sector 4 Dwarka;3
20000000;1900;Sector 4 Dwarka;3
19000000;1900;Sector 4 Dwarka;3
15500000;1800;Sector 11 Dwarka;3
10200000;1400;Sector 7 Dwarka;2
14500000;1900;Sector 19 Dwarka;3
15500000;1900;Sector-18 Dwarka;3
16800000;2000;Sector 6 Dwarka;4
13500000;1800;Sector 6 Dwarka;3
16800000;2000;Sector 5 Dwarka;4
15000000;1900;Sector 6 Dwarka;3
16000000;1900;Sector 6 Dwarka;3
16200000;1900;Sector 6 Dwarka;3
17000000;2000;Sector 6 Dwarka;3
15400000;1800;Sector 6 Dwarka;3
14000000;1800;Sector 10 Dwarka;3
14200000;1800;Sector 6 Dwarka;3
18500000;2000;Sector 6 Dwarka;3
16500000;1900;Sector 6 Dwarka;3
14900000;1900;Sector 7 Dwarka;3
16800000;1900;Sector 6 Dwarka;3
15000000;2000;Sector 6 Dwarka;3
14500000;1900;Sector 6 Dwarka;3
